mA6fwSD7HaXL1QG-jkb2Hw,"[(16, 0.31580526319415625), (18, 0.021660616468211671), (19, 0.49937053729553721), (37, 0.12778059594573671), (82, 0.027596101850453372)]"
hBgIhxFFRsdjtQk3QhsoZQ,"[(6, 0.018835496744243285), (19, 0.1790899997752024), (46, 0.013764585146456898), (63, 0.06793372967748143), (96, 0.67256460116442374)]"
b9svM7RoDUAVnzjFBmf3Ow,"[(3, 0.019148624694777728), (10, 0.012530121882860902), (17, 0.048750510175334487), (18, 0.07724407306780412), (46, 0.031718759033215686), (66, 0.30389337101753922), (79, 0.027883237909005244), (86, 0.012054939584399172), (93, 0.069722314544672079), (95, 0.35689210306933289)]"
NAoOOwQS_SQEPQe6-8zC-g,"[(17, 0.024661785489115382), (68, 0.38996102178725789), (69, 0.036375897691109202), (80, 0.52675324720559535)]"
JMjjXpNR4EAooX6jtwNEaw,"[(6, 0.13924979754686614), (12, 0.22744331276006438), (33, 0.25507530986492388), (36, 0.039884405461912603), (47, 0.046417947056509867), (59, 0.041726714976535281), (68, 0.12044219545157819), (78, 0.11577317269220259)]"
Obh_7Qqj4swLcvXSiT5M8A,"[(16, 0.11780392477222258), (19, 0.71400147803739467), (44, 0.031326264945320197), (46, 0.012983648667219029), (52, 0.048376276510573177), (63, 0.04927803586246958), (66, 0.019988760466547996)]"
FFdlPSZCGgTdg1CAfrlvlw,"[(18, 0.025688088702762717), (46, 0.184364649472919), (48, 0.71574197185975519), (80, 0.036719270991838512)]"
r6zT-YqmOtHg8BJT3LLzfg,"[(3, 0.38456261408278314), (16, 0.020714116414689177), (18, 0.19423122192540881), (19, 0.053738766644995099), (33, 0.017286431553658981), (44, 0.19387988674735882), (46, 0.053984377750326919), (48, 0.016121910076130265), (80, 0.012055090273364587), (93, 0.021180955041274256)]"
23sB_DG-bQO3luNlZ-vi4g,"[(19, 0.24903523367032698), (46, 0.03434452275868085), (47, 0.011001322535368594), (63, 0.06541850583189128), (80, 0.10682492196887311), (82, 0.27628461832201495), (84, 0.060002439398641298), (86, 0.17650023935837367)]"
yDnRf8m_YI4AXHVGH6-fuQ,"[(1, 0.05357351968963163), (3, 0.10289744947203538), (16, 0.40297020159548241), (18, 0.024825541135095015), (19, 0.11088640104525102), (46, 0.052700400207843417), (47, 0.028726602624062899), (49, 0.035576206409414196), (66, 0.027052402658179101), (67, 0.024268704499016372), (79, 0.042725476902882024), (83, 0.055715162365379718)]"
-J0jhpG0rv4saq9OMh8gXw,"[(7, 0.099850772921010411), (9, 0.011530280931691773), (16, 0.063815997744963909), (18, 0.048742527262770785), (19, 0.11460373065464974), (46, 0.055408567622958427), (79, 0.53624867468617587), (80, 0.049257688761809165)]"
ykBWmSL1yDrAob2a20b2DQ,"[(18, 0.064629587135071304), (19, 0.43154647557772163), (64, 0.44947729551811155), (82, 0.013579161497958899)]"
ke3RFq3mHEAoJE_kkRNhiQ,"[(3, 0.07955767260562828), (18, 0.25039736219220815), (38, 0.43318168996562845), (46, 0.1091593130879628), (59, 0.015876265814334743), (66, 0.032938654098848233), (86, 0.022888857792360016)]"
SNpVV5viJ2aPylP6bkAx8Q,"[(1, 0.012641907619482416), (18, 0.017966657427700539), (19, 0.25165913740853807), (46, 0.26954494271673368), (49, 0.032564891742067358), (66, 0.29193679452348592), (69, 0.019217244379868083), (77, 0.024184794745298447), (79, 0.017186668878618878), (98, 0.014190155075740332)]"
TgxDGx7L_JICWbuBUCGVqw,"[(3, 0.032002411744446388), (18, 0.26378567750933607), (33, 0.60328967640235653), (46, 0.043470297601307807), (80, 0.011600064579021635)]"
